277751,108132,0.55,-58.1,-60.3,-0.92,4,7,2.06,0,0,0,0,0,-5,3,1035,1,1,38,38,0,0,0,3,-1,3,1,0.55,0.58
277792,108133,0.62,-62.7,-63.5,-0.83,4,7,1.78,0,0,0,0,0,-6,4,1035,1,1,38,38,0,0,0,2,0,1,1,0.55,0.57
277798,108134,0.54,-59.1,-60.8,-0.91,4,7,2.03,0,0,0,0,0,-4,3,1035,1,1,38,38,0,0,0,6,0,2,1,0.54,0.57
277804,108135,0.61,-62.7,-63.5,-1.04,4,7,1.73,0,0,0,0,0,-4,3,1035,1,1,38,38,0,0,0,6,0,2,1,0.55,0.57
277810,108136,0.53,-58.1,-60.1,-0.94,4,7,2.19,0,0,0,0,0,-4,3,1035,1,1,38,38,0,0,0,6,0,2,1,0.55,0.57
277816,108137,0.61,-62.1,-62.9,-0.86,4,7,1.77,0,0,0,0,0,-5,2,1033,1,1,38,38,0,0,0,2,2,1,1,0.61,0.57
277856,108138,0.61,-59.1,-59.7,-1.00,4,7,1.66,0,0,0,0,0,-5,2,1033,1,1,38,38,0,0,0,2,2,1,1,0.61,0.57
277862,108139,0.53,-62.1,-63.0,-1.39,4,7,1.77,0,0,0,0,0,-5,3,1034,1,1,38,38,0,0,0,2,2,5,1,0.61,0.58
277868,108140,0.56,-59.1,-59.6,-1.15,4,7,1.75,0,0,0,0,0,-5,3,1034,1,1,38,38,0,0,0,2,2,5,1,0.56,0.58
277915,108141,0.56,-62.7,-63.3,-1.31,4,7,1.86,0,0,0,0,0,-5,2,1034,1,1,38,38,0,0,0,3,3,6,1,0.56,0.58
277921,108142,0.62,-62.7,-63.5,-0.86,4,7,1.83,0,0,0,0,0,-4,4,1034,1,1,38,38,0,0,0,3,2,1,1,0.56,0.57
277957,108143,0.66,-58.1,-59.3,-0.75,4,7,1.47,0,0,0,0,0,-4,4,1034,1,1,38,38,0,0,0,3,2,1,1,0.56,0.57
277963,108144,0.55,-62.1,-63.0,-0.92,4,6,2.52,0,0,0,0,0,-5,4,1033,1,1,38,38,0,0,0,4,0,3,1,0.56,0.57
277969,108145,0.62,-59.1,-59.8,-1.09,4,7,1.27,0,0,0,0,0,-5,4,1033,1,1,38,38,0,0,0,4,0,3,1,0.62,0.58
277990,108146,0.59,-59.1,-59.8,-1.04,4,7,1.25,0,0,0,0,0,-5,4,1033,1,1,38,38,0,0,0,4,0,4,1,0.62,0.58
277996,108147,0.59,-60.3,-60.5,-1.06,4,7,1.20,0,0,0,0,0,-6,3,1034,1,1,38,38,0,0,0,3,3,-1,1,0.59,0.58
278002,108148,0.55,-63.3,-63.8,-1.49,4,7,2.11,0,0,0,0,0,-6,3,1034,1,1,38,38,0,0,0,3,3,-1,1,0.59,0.58
278026,108149,0.61,-63.3,-63.9,-1.30,4,7,1.97,0,0,0,0,0,-6,3,1034,1,1,38,38,0,0,0,3,3,-1,1,0.59,0.58
278032,108150,0.54,-59.1,-60.1,-1.01,4,7,2.34,0,0,0,0,0,-5,4,1034,1,1,38,38,0,0,0,0,1,2,1,0.59,0.58
278038,108151,0.69,-62.7,-63.6,-0.75,4,7,1.98,0,0,0,0,0,-5,3,1034,1,1,38,38,0,0,0,1,3,0,1,0.59,0.58
278044,108152,0.55,-59.1,-60.1,-1.07,4,7,2.14,0,0,0,0,0,-5,3,1034,1,1,38,38,0,0,0,1,3,0,1,0.55,0.58
278050,108153,0.59,-58.1,-60.2,-0.85,4,7,2.27,0,0,0,0,0,-5,3,1034,1,1,38,38,0,0,0,1,3,0,1,0.59,0.58
278056,108154,0.62,-62.7,-63.6,-0.92,4,7,1.97,0,0,0,0,0,-6,2,1034,1,1,38,38,0,0,0,1,-1,-1,1,0.59,0.58
278062,108155,0.54,-62.1,-63.1,-1.49,4,7,1.97,0,0,0,0,0,-6,2,1034,1,1,38,38,0,0,0,1,-1,-1,1,0.59,0.58
278068,108156,0.61,-59.1,-60.0,-1.01,4,7,2.00,0,0,0,0,0,-6,2,1034,1,1,38,38,0,0,0,1,-1,-1,1,0.59,0.58
