ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
337624,138493,0.85,-64.2,-66.2,-1.16,4,7,1.95,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,-2,-1,1,0.88,0.88
337625,138494,0.83,-62.7,-64.7,-1.24,4,7,2.00,0,0,0,0,0,-6,-4,1034,1,1,35,35,0,0,0,3,-2,-1,1,0.85,0.88
337628,138495,0.87,-64.2,-66.4,-1.07,4,7,1.23,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.87,0.88
337630,138496,0.83,-64.2,-66.2,-1.04,4,7,1.55,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.85,0.88
337632,138497,0.83,-64.2,-66.3,-1.15,4,7,1.83,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.88
337635,138498,0.83,-69.1,-71.1,-1.19,4,7,1.20,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.87
337637,138499,0.83,-64.0,-66.0,-1.28,4,7,1.52,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.87
337639,138500,0.85,-64.3,-66.2,-1.15,4,7,1.75,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.87
337641,138501,0.83,-62.7,-64.7,-1.19,4,7,1.19,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.87
337644,138502,0.84,-64.0,-66.0,-1.18,4,7,1.42,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.87
337646,138503,0.82,-64.5,-66.5,-1.21,4,7,1.84,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-3,6,1,0.83,0.86
337648,138504,0.86,-68.5,-70.5,-1.12,4,7,2.03,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.84,0.86
337650,138505,0.86,-64.3,-66.0,-1.18,4,7,1.30,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.84,0.86
337653,138506,0.83,-64.3,-66.5,-1.15,4,7,1.75,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.84,0.86
337655,138507,0.86,-64.3,-66.4,-1.16,4,7,1.95,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.86,0.86
337657,138508,0.86,-69.0,-70.7,-1.10,4,7,1.42,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.86,0.86
337659,138509,0.83,-68.9,-70.9,-1.12,4,7,1.88,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.86,0.86
337662,138510,0.86,-64.7,-66.8,-1.10,4,7,1.30,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.86,0.86
337664,138511,0.83,-69.0,-70.9,-1.07,4,7,1.61,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.86,0.86
337666,138512,0.79,-64.3,-66.3,-1.13,4,7,1.95,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,1,0,4,1,0.83,0.86
337668,138513,0.87,-68.5,-70.5,-1.15,4,7,1.09,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.83,0.86
337671,138514,0.83,-68.2,-70.1,-1.16,4,7,1.61,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.83,0.86
337673,138515,0.86,-64.3,-66.2,-1.10,4,7,1.83,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.83,0.86
337675,138516,0.86,-64.2,-66.3,-1.16,4,7,1.13,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.86,0.86
337678,138517,0.84,-68.6,-70.5,-1.19,4,7,1.44,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.86,0.86
337680,138518,0.87,-68.2,-70.1,-1.16,4,7,1.89,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.86,0.86
337682,138519,0.80,-62.2,-64.6,-1.22,4,6,2.45,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.86,0.86
337684,138520,0.85,-68.2,-70.1,-1.10,4,7,1.48,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.85,0.86
337687,138521,0.86,-68.4,-70.3,-1.15,4,7,1.73,0,0,0,0,0,-6,-6,1035,1,1,35,35,0,0,0,3,-2,0,1,0.85,0.86
337689,138522,0.83,-64.2,-66.3,-1.22,4,7,1.11,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.85,0.86
337691,138523,0.84,-64.2,-65.9,-1.25,4,7,1.61,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.86
337693,138524,0.80,-69.0,-71.0,-1.15,4,7,1.88,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.86
337696,138525,0.88,-68.5,-70.5,-1.12,4,7,2.16,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.86
337698,138526,0.84,-68.7,-70.7,-1.10,4,7,1.52,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.86
337700,138527,0.83,-68.1,-70.1,-1.15,4,7,1.89,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.85
337703,138528,0.81,-62.7,-64.8,-1.13,4,6,2.41,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.83,0.85
337705,138529,0.85,-64.2,-66.2,-1.09,4,7,1.44,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-1,2,1,0.84,0.85
337707,138530,0.86,-68.5,-70.3,-1.09,4,7,1.72,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.84,0.85
337709,138531,0.83,-64.3,-66.3,-1.31,4,7,2.00,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.83,0.85
337712,138532,0.84,-62.2,-64.3,-1.04,4,7,1.44,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.84,0.85
337714,138533,0.83,-68.9,-70.8,-1.07,4,7,1.78,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.84,0.85
337716,138534,0.89,-68.4,-70.5,-1.12,4,7,1.91,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.84,0.85
337718,138535,0.81,-64.2,-66.1,-1.19,4,7,1.44,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.83,0.85
337721,138536,0.85,-68.4,-70.1,-1.12,4,7,1.75,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.84,0.85
337723,138537,0.86,-68.6,-70.7,-1.09,4,7,2.00,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.85,0.85
337725,138538,0.87,-64.3,-66.3,-1.06,4,7,1.31,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,6,-5,1,1,0.86,0.85
337727,138539,0.83,-68.2,-70.0,-1.25,4,7,1.77,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,2,-4,1,1,0.85,0.85
337730,138540,0.84,-68.3,-70.5,-1.15,4,7,2.03,0,0,0,0,0,-5,-5,1033,1,1,35,35,0,0,0,2,-4,1,1,0.85,0.85
