ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
437649,179121,0.87,-78.6,-81.5,-1.22,4,7,2.09,0,0,0,0,0,-5,-6,1033,1,1,35,35,0,0,0,1,1,0,1,0.84,0.84
437651,179122,0.90,-78.6,-80.8,-1.15,4,7,1.92,0,0,0,0,0,-5,-6,1033,1,1,35,35,0,0,0,1,1,0,1,0.87,0.85
437654,179123,0.83,-69.5,-71.9,-1.13,4,7,1.05,0,0,0,0,0,-5,-6,1033,1,1,35,35,0,0,0,1,1,0,1,0.84,0.85
437656,179124,0.80,-69.5,-71.5,-1.21,4,7,1.63,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,4,1,1,1,0.84,0.85
437671,179125,0.82,-78.9,-81.6,-1.21,4,6,2.38,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,4,1,1,1,0.83,0.84
437673,179126,0.85,-69.1,-71.2,-1.22,4,7,1.88,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,4,1,1,1,0.83,0.84
437675,179127,0.85,-69.1,-71.5,-1.22,4,6,2.36,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437678,179128,0.81,-69.3,-71.4,-1.19,4,7,1.80,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.82,0.84
437680,179129,0.81,-73.4,-76.1,-1.15,4,7,2.28,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.82,0.84
437682,179130,0.83,-78.9,-81.3,-1.24,4,7,1.38,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437684,179131,0.83,-69.2,-71.3,-1.33,4,7,1.73,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437687,179132,0.85,-69.3,-71.4,-1.19,4,7,0.95,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437689,179133,0.77,-78.8,-81.3,-1.24,4,6,2.59,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437691,179134,0.80,-78.7,-81.0,-1.15,4,7,1.91,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437693,179135,0.83,-78.8,-81.5,-1.22,4,7,2.11,0,0,0,0,0,-5,-3,1035,1,1,35,35,0,0,0,4,1,2,1,0.83,0.84
437696,179136,0.85,-69.2,-71.6,-1.22,4,7,1.31,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.83,0.84
437698,179137,0.79,-78.7,-80.8,-1.18,4,7,1.91,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.80,0.83
437700,179138,0.85,-78.6,-81.5,-1.25,4,7,2.16,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.83,0.83
437702,179139,0.87,-69.1,-71.4,-1.13,4,7,1.25,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.85,0.84
437705,179140,0.88,-69.0,-71.3,-1.12,4,7,1.63,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.85,0.84
437707,179141,0.86,-69.1,-71.3,-1.30,4,7,1.78,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.86,0.84
437709,179142,0.88,-69.2,-71.5,-1.22,4,7,1.97,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.87,0.84
437711,179143,0.78,-78.8,-81.3,-1.16,4,7,1.86,0,0,0,0,0,-5,-5,1035,1,1,35,35,0,0,0,2,-1,3,1,0.87,0.84
