ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
405623,166114,0.82,-68.0,-70.2,-1.34,4,7,2.03,0,0,0,0,0,-5,-7,1033,1,1,35,35,0,0,0,1,0,1,1,0.82,0.82
405625,166115,0.83,-63.5,-65.6,-1.18,4,7,1.83,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405627,166116,0.84,-63.6,-65.5,-1.10,4,7,1.13,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405630,166117,0.81,-67.9,-69.8,-1.28,4,7,1.56,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405632,166118,0.75,-63.5,-65.5,-1.37,4,7,1.94,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405634,166119,0.84,-68.0,-70.0,-1.24,4,7,1.05,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.83,0.82
405636,166120,0.82,-61.5,-63.4,-1.27,4,7,1.42,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405639,166121,0.81,-64.2,-66.2,-1.12,4,7,1.89,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.81,0.82
405641,166122,0.84,-63.9,-66.0,-1.07,4,7,1.02,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.82,0.82
405643,166123,0.83,-63.6,-65.5,-1.12,4,7,1.33,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,2,-1,0,1,0.83,0.82
405645,166124,0.83,-63.5,-65.5,-1.12,4,7,1.81,0,0,0,0,0,-6,-5,1034,1,1,35,35,0,0,0,5,-2,-2,1,0.83,0.82
405648,166125,0.83,-68.0,-70.2,-1.25,4,7,2.02,0,0,0,0,0,-6,-5,1034,1,1,35,35,0,0,0,5,-2,-2,1,0.83,0.82
405650,166126,0.83,-68.3,-70.3,-1.10,4,6,2.39,0,0,0,0,0,-6,-5,1034,1,1,35,35,0,0,0,5,-2,-2,1,0.83,0.82
405652,166127,0.79,-63.5,-65.3,-1.27,4,7,1.78,0,0,0,0,0,-6,-5,1034,1,1,35,35,0,0,0,5,-2,-2,1,0.83,0.82
