ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt,dist_smooth
305628,125499,0.86,-65.2,-67.4,-1.16,4,7,1.16,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,4,0,1,1,0.86,0.86
305630,125500,0.89,-69.5,-72.0,-1.13,4,7,1.83,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,4,0,1,1,0.87,0.86
305632,125501,0.83,-69.9,-72.3,-1.12,4,7,1.45,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,4,0,1,1,0.86,0.86
305635,125502,0.90,-65.4,-67.6,-1.04,4,7,1.83,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,4,0,1,1,0.86,0.86
305637,125503,0.86,-69.1,-71.8,-1.16,4,7,2.02,0,0,0,0,0,-5,-6,1034,1,1,35,35,0,0,0,4,0,1,1,0.86,0.86
305639,125504,0.87,-69.3,-71.4,-1.24,4,7,1.34,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.87,0.86
305641,125505,0.85,-69.5,-72.2,-1.18,4,7,1.80,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.86,0.86
305644,125506,0.89,-69.1,-71.6,-1.10,4,7,2.08,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.87,0.86
305646,125507,0.80,-63.6,-65.8,-1.15,4,7,1.70,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.86,0.86
305648,125508,0.84,-69.1,-71.5,-1.27,4,7,1.78,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.85,0.86
305651,125509,0.83,-65.9,-68.5,-1.19,4,7,2.23,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.84,0.86
305653,125510,0.85,-69.2,-71.4,-1.25,4,7,1.42,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.84,0.86
305655,125511,0.83,-63.6,-66.9,-1.09,4,7,2.11,0,0,0,0,0,-5,-4,1034,1,1,35,35,0,0,0,1,-1,3,1,0.83,0.86
305657,125512,0.86,-69.0,-71.8,-1.16,4,7,2.11,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.84,0.86
305660,125513,0.83,-65.6,-68.1,-1.12,4,7,1.58,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.83,0.85
305662,125514,0.84,-69.2,-71.4,-1.22,4,7,1.83,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.84,0.85
305664,125515,0.88,-69.1,-71.7,-1.16,4,7,2.02,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.84,0.85
305666,125516,0.89,-69.6,-71.6,-1.12,4,7,1.20,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.86,0.85
305669,125517,0.88,-69.1,-71.4,-1.15,4,7,1.75,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.88,0.85
305671,125518,0.86,-65.4,-68.0,-1.07,4,7,2.03,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.88,0.86
305673,125519,0.83,-65.2,-67.8,-1.22,4,7,1.45,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.88,0.86
305676,125520,0.87,-65.4,-67.9,-1.13,4,7,1.84,0,0,0,0,0,-4,-5,1034,1,1,35,35,0,0,0,3,-3,2,1,0.87,0.86
305678,125521,0.89,-65.4,-67.9,-1.19,4,7,1.92,0,0,0,0,0,-6,-6,1034,1,1,35,35,0,0,0,1,-2,0,1,0.87,0.86
